series,date,type,value
abs,2015-01-01,e0,281643.0
abs,2015-01-01,e1,152097.0
abs,2015-01-01,e2,32733.0
abs,2015-01-01,e3,75576.0
abs,2015-01-01,e4,-2431.0
abs,2015-01-01,e5,193829.0
abs,2015-01-01,e6,170162.0
abs,2015-04-01,e0,288307.0
abs,2015-04-01,e1,154317.0
abs,2015-04-01,e2,34963.0
abs,2015-04-01,e3,77719.0
abs,2015-04-01,e4,2776.0
abs,2015-04-01,e5,194754.0
abs,2015-04-01,e6,176221.0
abs,2015-07-01,e0,297422.0
abs,2015-07-01,e1,165970.0
abs,2015-07-01,e2,35949.0
abs,2015-07-01,e3,75995.0
abs,2015-07-01,e4,-2080.0
abs,2015-07-01,e5,209068.0
abs,2015-07-01,e6,187481.0
abs,2015-10-01,e0,309569.0
abs,2015-10-01,e1,162715.0
abs,2015-10-01,e2,50375.0
abs,2015-10-01,e3,75133.0
abs,2015-10-01,e4,-3460.0
abs,2015-10-01,e5,219720.0
abs,2015-10-01,e6,194914.0
abs,2016-01-01,e0,295016.0
abs,2016-01-01,e1,164480.0
abs,2016-01-01,e2,33926.0
abs,2016-01-01,e3,77252.0
abs,2016-01-01,e4,1670.0
abs,2016-01-01,e5,197024.0
abs,2016-01-01,e6,179335.0
abs,2016-04-01,e0,303738.0
abs,2016-04-01,e1,166337.0
abs,2016-04-01,e2,37213.0
abs,2016-04-01,e3,84201.0
abs,2016-04-01,e4,-301.0
abs,2016-04-01,e5,199691.0
abs,2016-04-01,e6,183403.0
abs,2016-07-01,e0,316737.0
abs,2016-07-01,e1,178505.0
abs,2016-07-01,e2,37095.0
abs,2016-07-01,e3,79108.0
abs,2016-07-01,e4,-973.0
abs,2016-07-01,e5,209549.0
abs,2016-07-01,e6,186547.0
abs,2016-10-01,e0,334206.0
abs,2016-10-01,e1,175358.0
abs,2016-10-01,e2,48790.0
abs,2016-10-01,e3,78335.0
abs,2016-10-01,e4,5574.0
abs,2016-10-01,e5,228227.0
abs,2016-10-01,e6,202077.0
abs,2017-01-01,e0,328713.0
abs,2017-01-01,e1,182571.0
abs,2017-01-01,e2,37063.0
abs,2017-01-01,e3,86106.0
abs,2017-01-01,e4,3661.0
abs,2017-01-01,e5,231567.0
abs,2017-01-01,e6,212255.0
abs,2017-04-01,e0,334692.0
abs,2017-04-01,e1,184594.0
abs,2017-04-01,e2,39017.0
abs,2017-04-01,e3,89172.0
abs,2017-04-01,e4,-742.0
abs,2017-04-01,e5,234846.0
abs,2017-04-01,e6,212196.0
abs,2017-07-01,e0,347646.0
abs,2017-07-01,e1,198415.0
abs,2017-07-01,e2,38817.0
abs,2017-07-01,e3,85880.0
abs,2017-07-01,e4,-2051.0
abs,2017-07-01,e5,245640.0
abs,2017-07-01,e6,219056.0
abs,2017-10-01,e0,361259.0
abs,2017-10-01,e1,194566.0
abs,2017-10-01,e2,52423.0
abs,2017-10-01,e3,82783.0
abs,2017-10-01,e4,5778.0
abs,2017-10-01,e5,248726.0
abs,2017-10-01,e6,223017.0
abs,2018-01-01,e0,346709.0
abs,2018-01-01,e1,198561.0
abs,2018-01-01,e2,37329.0
abs,2018-01-01,e3,86713.0
abs,2018-01-01,e4,-3742.0
abs,2018-01-01,e5,237090.0
abs,2018-01-01,e6,209241.0
abs,2018-04-01,e0,353933.0
abs,2018-04-01,e1,202224.0
abs,2018-04-01,e2,40383.0
abs,2018-04-01,e3,91122.0
abs,2018-04-01,e4,1088.0
abs,2018-04-01,e5,241232.0
abs,2018-04-01,e6,222116.0
abs,2018-07-01,e0,367918.0
abs,2018-07-01,e1,217975.0
abs,2018-07-01,e2,40896.0
abs,2018-07-01,e3,88494.0
abs,2018-07-01,e4,-1467.0
abs,2018-07-01,e5,252774.0
abs,2018-07-01,e6,230754.0
abs,2018-10-01,e0,379200.0
abs,2018-10-01,e1,212628.0
abs,2018-10-01,e2,54682.0
abs,2018-10-01,e3,84036.0
abs,2018-10-01,e4,-267.0
abs,2018-10-01,e5,261416.0
abs,2018-10-01,e6,233295.0
abs,2019-01-01,e0,362512.0
abs,2019-01-01,e1,215316.0
abs,2019-01-01,e2,39385.0
abs,2019-01-01,e3,84364.0
abs,2019-01-01,e4,-8658.0
abs,2019-01-01,e5,240098.0
abs,2019-01-01,e6,207995.0
abs,2019-04-01,e0,371603.0
abs,2019-04-01,e1,220640.0
abs,2019-04-01,e2,40406.0
abs,2019-04-01,e3,91776.0
abs,2019-04-01,e4,-5991.0
abs,2019-04-01,e5,244463.0
abs,2019-04-01,e6,219692.0
abs,2019-07-01,e0,382278.0
abs,2019-07-01,e1,235895.0
abs,2019-07-01,e2,41167.0
abs,2019-07-01,e3,86538.0
abs,2019-07-01,e4,-9671.0
abs,2019-07-01,e5,249305.0
abs,2019-07-01,e6,220957.0
abs,2019-10-01,e0,396345.0
